785972786 || 

 NEW INTSTANCE | tNow=785972786
785974552 || start espTX 
785974553 || end espTX 
785974553 || start espTX 
785974553 || end espTX 
785974553 || start espTX 
785974553 || end espTX 
785974553 || start espTX 
785974553 || end espTX 
785974553 || start espTX 
785974553 || end espTX 
785974554 || start espTX 
785974554 || end espTX 
785974554 || start espTX 
785974554 || end espTX 
785974554 || start espTX 
785974555 || end espTX 
785974555 || start espTX 
785974555 || end espTX 
785974555 || awaiting sleep: kA=3 
785974559 || start espTX 
785974559 || end espTX 
785974559 || start espTX 
785974559 || end espTX 
785974559 || start espTX 
785974559 || end espTX 
785974559 || start espTX 
785974559 || end espTX 
785974565 || awaiting sleep: kA=3 
785974576 || Going to lightsleep: kA=3 
785974604 || 

 NEW INTSTANCE | tNow=785974604
 
785974606 || awaiting sleep: kA=3 
785974616 || Going to lightsleep: kA=3 
785974890 || 

 NEW INTSTANCE | tNow=785974890
 
785974892 || start espTX 
785974892 || start espTX 
785974893 || end espTX 
785974893 || start espTX 
785974893 || end espTX 
785974893 || start espTX 
785974893 || end espTX 
785974893 || start espTX 
785974893 || end espTX 
785974893 || start espTX 
785974893 || end espTX 
785974894 || start espTX 
785974894 || end espTX 
785974894 || start espTX 
785974894 || end espTX 
785974894 || start espTX 
785974894 || end espTX 
785974894 || start espTX 
785974895 || end espTX 
785974895 || start espTX 
785974895 || end espTX 
785974895 || start espTX 
785974895 || end espTX 
785974895 || start espTX 
785974895 || end espTX 
785974896 || start espTX 
785974896 || end espTX 
785974896 || start espTX 
785974896 || end espTX 
785974896 || start espTX 
785974896 || end espTX 
785974896 || start espTX 
785974897 || end espTX 
785974897 || start espTX 
785974897 || end espTX 
785974897 || start espTX 
785974897 || end espTX 
785974899 || start espTX 
785974899 || end espTX 
785974899 || start espTX 
785974899 || end espTX 
785974899 || start espTX 
785974899 || end espTX 
785974899 || awaiting sleep: kA=3 
785974899 || start espTX 
785974900 || end espTX 
785974900 || start espTX 
785974900 || end espTX 
785974900 || start espTX 
785974900 || end espTX 
785974900 || start espTX 
785974900 || end espTX 
785974901 || start espTX 
785974901 || end espTX 
785974901 || start espTX 
785974901 || end espTX 
785974901 || start espTX 
785974901 || end espTX 
785974902 || start espTX 
785974902 || end espTX 
785974902 || start espTX 
785974902 || end espTX 
785974902 || start espTX 
785974902 || end espTX 
785974903 || start espTX 
785974903 || end espTX 
785974903 || start espTX 
785974903 || end espTX 
785974903 || start espTX 
785974903 || end espTX 
785974903 || start espTX 
785974904 || end espTX 
785974904 || start espTX 
785974904 || end espTX 
785974904 || start espTX 
785974904 || end espTX 
785974904 || start espTX 
785974905 || end espTX 
785974905 || start espTX 
785974905 || end espTX 
785974905 || start espTX 
785974905 || end espTX 
785974905 || start espTX 
785974905 || end espTX 
785974905 || start espTX 
785974905 || end espTX 
785974905 || start espTX 
785974905 || end espTX 
785974905 || start espTX 
785974906 || end espTX 
785974906 || start espTX 
785974906 || end espTX 
785974906 || start espTX 
785974906 || end espTX 
785974906 || start espTX 
785974906 || end espTX 
785974906 || start espTX 
785974906 || end espTX 
785974907 || start espTX 
785974907 || end espTX 
785974907 || start espTX 
785974908 || end espTX 
785974908 || start espTX 
785974908 || end espTX 
785974908 || start espTX 
785974908 || end espTX 
785974908 || awaiting sleep: kA=3 
785974908 || start espTX 
785974908 || end espTX 
785974908 || start espTX 
785974908 || end espTX 
785974908 || start espTX 
785974909 || end espTX 
785974909 || start espTX 
785974909 || end espTX 
785974909 || start espTX 
785974909 || end espTX 
785974909 || start espTX 
785974909 || end espTX 
785974909 || start espTX 
785974909 || end espTX 
785974909 || start espTX 
785974909 || end espTX 
785974910 || start espTX 
785974910 || end espTX 
785974910 || start espTX 
785974910 || end espTX 
785974910 || start espTX 
785974910 || end espTX 
785974910 || start espTX 
785974910 || end espTX 
785974910 || start espTX 
785974911 || end espTX 
785974911 || start espTX 
785974911 || end espTX 
785974911 || start espTX 
785974911 || end espTX 
785974911 || start espTX 
785974911 || end espTX 
785974911 || start espTX 
785974911 || end espTX 
785974912 || start espTX 
785974912 || end espTX 
785974912 || start espTX 
785974912 || end espTX 
785974912 || start espTX 
785974912 || end espTX 
785974912 || start espTX 
785974912 || end espTX 
785974912 || start espTX 
785974913 || end espTX 
785974913 || start espTX 
785974913 || end espTX 
785974913 || start espTX 
785974913 || end espTX 
785974913 || start espTX 
785974913 || end espTX 
785974913 || start espTX 
785974914 || end espTX 
785974915 || start espTX 
785974915 || end espTX 
785974915 || start espTX 
785974915 || end espTX 
785974915 || start espTX 
785974915 || end espTX 
785974915 || start espTX 
785974915 || end espTX 
785974915 || start espTX 
785974916 || end espTX 
785974916 || start espTX 
785974916 || end espTX 
785974916 || start espTX 
785974916 || end espTX 
785974916 || start espTX 
785974916 || end espTX 
785974916 || start espTX 
785974917 || end espTX 
785974917 || awaiting sleep: kA=3 
785974917 || start espTX 
785974917 || end espTX 
785974917 || start espTX 
785974917 || end espTX 
785974917 || start espTX 
785974917 || end espTX 
785974918 || start espTX 
785974918 || end espTX 
785974918 || start espTX 
785974918 || end espTX 
785974918 || start espTX 
785974918 || end espTX 
785974918 || start espTX 
785974918 || end espTX 
785974919 || start espTX 
785974919 || end espTX 
785974919 || start espTX 
785974919 || end espTX 
785974919 || start espTX 
785974919 || end espTX 
785974919 || start espTX 
785974920 || end espTX 
785974920 || start espTX 
785974920 || end espTX 
785974920 || start espTX 
785974920 || end espTX 
785974920 || start espTX 
785974920 || end espTX 
785974921 || start espTX 
785974921 || end espTX 
785974921 || start espTX 
785974921 || end espTX 
785974921 || start espTX 
785974921 || end espTX 
785974921 || start espTX 
785974922 || end espTX 
785974922 || start espTX 
785974922 || end espTX 
785974922 || start espTX 
785974922 || end espTX 
785974922 || start espTX 
785974922 || end espTX 
785974923 || start espTX 
785974924 || end espTX 
785974924 || start espTX 
785974924 || end espTX 
785974924 || start espTX 
785974924 || end espTX 
785974924 || start espTX 
785974924 || end espTX 
785974925 || start espTX 
785974925 || end espTX 
785974925 || start espTX 
785974925 || end espTX 
785974925 || start espTX 
785974925 || end espTX 
785974925 || start espTX 
785974926 || end espTX 
785974926 || start espTX 
785974926 || end espTX 
785974926 || start espTX 
785974926 || end espTX 
785974926 || awaiting sleep: kA=3 
785974926 || start espTX 
785974926 || end espTX 
785974927 || start espTX 
785974927 || end espTX 
785974927 || start espTX 
785974927 || end espTX 
785974927 || start espTX 
785974927 || end espTX 
785974927 || start espTX 
785974927 || end espTX 
785974927 || start espTX 
785974927 || end espTX 
785974927 || start espTX 
785974928 || end espTX 
785974928 || start espTX 
785974928 || end espTX 
785974928 || start espTX 
785974928 || end espTX 
785974928 || start espTX 
785974928 || end espTX 
785974928 || start espTX 
785974928 || end espTX 
785974928 || start espTX 
785974928 || end espTX 
785974929 || start espTX 
785974929 || end espTX 
785974929 || start espTX 
785974929 || end espTX 
785974929 || start espTX 
785974929 || end espTX 
785974929 || start espTX 
785974929 || end espTX 
785974929 || start espTX 
785974929 || end espTX 
785974930 || start espTX 
785974930 || end espTX 
785974938 || 

 NEW INTSTANCE | tNow=785974938
 
785974940 || start espTX 
785974941 || start espTX 
785974941 || start espTX 
785974941 || start espTX 
785974941 || start espTX 
785974941 || start espTX 
785974941 || start espTX 
785974941 || start espTX 
785974941 || start espTX 
785974941 || start espTX 
785974941 || start espTX 
785974942 || start espTX 
785974942 || start espTX 
785974942 || start espTX 
785974942 || start espTX 
785974942 || start espTX 
785974942 || start espTX 
785974942 || start espTX 
785974942 || start espTX 
785974942 || start espTX 
785974942 || start espTX 
785974943 || start espTX 
785974943 || start espTX 
785974943 || start espTX 
785974943 || start espTX 
785974943 || start espTX 
785974943 || start espTX 
785974943 || start espTX 
785974943 || start espTX 
785974943 || start espTX 
785974944 || start espTX 
785974944 || start espTX 
785974944 || start espTX 
785974944 || start espTX 
785974944 || start espTX 
785974944 || start espTX 
785974944 || start espTX 
785974944 || start espTX 
785974967 || 

 NEW INTSTANCE | tNow=785974967
 
785974970 || awaiting sleep: kA=3 
785974973 || Going to lightsleep: kA=3 
785975004 || 

 NEW INTSTANCE | tNow=785975004
 
785975136 || 

 NEW INTSTANCE | tNow=785975136
 
785975138 || start espTX 
785975138 || start espTX 
785975138 || end espTX 
785975138 || start espTX 
785975139 || end espTX 
785975139 || start espTX 
785975139 || end espTX 
785975140 || start espTX 
785975140 || end espTX 
785975140 || start espTX 
785975140 || end espTX 
785975140 || start espTX 
785975140 || end espTX 
785975141 || start espTX 
785975141 || end espTX 
785975141 || start espTX 
785975141 || end espTX 
785975141 || start espTX 
785975141 || end espTX 
785975141 || start espTX 
785975141 || end espTX 
785975142 || start espTX 
785975142 || end espTX 
785975142 || start espTX 
785975142 || end espTX 
785975142 || start espTX 
785975142 || end espTX 
785975142 || start espTX 
785975142 || end espTX 
785975143 || start espTX 
785975143 || end espTX 
785975143 || start espTX 
785975143 || end espTX 
785975143 || start espTX 
785975143 || end espTX 
785975143 || start espTX 
785975144 || end espTX 
785975144 || start espTX 
785975144 || end espTX 
785975144 || start espTX 
785975144 || end espTX 
785975144 || start espTX 
785975144 || end espTX 
785975145 || awaiting sleep: kA=3 
785975145 || start espTX 
785975145 || end espTX 
785975145 || start espTX 
785975145 || end espTX 
785975145 || start espTX 
785975145 || end espTX 
785975146 || start espTX 
785975146 || end espTX 
785975146 || start espTX 
785975146 || end espTX 
785975146 || start espTX 
785975146 || end espTX 
785975146 || start espTX 
785975147 || end espTX 
785975147 || start espTX 
785975147 || end espTX 
785975147 || start espTX 
785975147 || end espTX 
785975147 || start espTX 
785975147 || end espTX 
785975148 || start espTX 
785975148 || end espTX 
785975148 || start espTX 
785975196 || 

 NEW INTSTANCE | tNow=785975196
 
785975199 || awaiting sleep: kA=3 
785975202 || Going to lightsleep: kA=3 
785975231 || 

 NEW INTSTANCE | tNow=785975231
 
785975233 || awaiting sleep: kA=3 
785975235 || start espTX 
785975236 || end espTX 
785975236 || start espTX 
785975236 || end espTX 
785975236 || start espTX 
785975236 || end espTX 
785975236 || start espTX 
785975236 || end espTX 
785975236 || start espTX 
785975236 || end espTX 
785975236 || awaiting sleep: kA=3 
785975239 || Going to lightsleep: kA=3 
4 || 

 NEW INTSTANCE | tNow=4
 
6 || awaiting sleep: kA=3 
9 || Going to lightsleep: kA=3 
4 || 

 NEW INTSTANCE | tNow=4
 
6 || awaiting sleep: kA=3 
6 || start espTX 
6 || end espTX 
6 || start espTX 
7 || end espTX 
7 || start espTX 
7 || end espTX 
7 || start espTX 
7 || end espTX 
7 || start espTX 
7 || end espTX 
10 || awaiting sleep: kA=3 
13 || Going to lightsleep: kA=3 
